No.,Target,Significant --regex,Best Match Score,Best Match,Best Match Path,2nd Match Score,2nd Match,2nd Match Path,3rd Match Score,3rd Match,3rd Match Path
83,grinnell_17283,None,45,dg_1712600283.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
84,grinnell_17284,None,45,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
85,grinnell_34465,None,26,dg_1712600265.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,26,dg_1712600259.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,26,dg_1712600275.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
86,dg_1712600271,None,95,dg_1712600271.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,95,dg_1712600271.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,95,dg_1712600271.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
87,dg_1712600286,None,80,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
88,dg_1712600289,None,80,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,80,dg_1712600292.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
89,grinnell_5276,None,33,dg_1712600276.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,32,dg_1712600276.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,32,dg_1712600276.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/smalls
90,grinnell_23551,None,26,dg_1712600291.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,26,dg_1712600283.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,26,dg_1712600281.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
91,grinnell_23553,None,26,dg_1712600283.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,26,dg_1712600265.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,26,dg_1712600259.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
92,grinnell_20022,None,45,dg_1712600292.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,45,dg_1712600282.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,45,dg_1712600272.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
93,grinnell_5001,None,33,dg_1712600291.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600281.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,33,dg_1712600271.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
94,grinnell_26787,None,39,dg_1712600278.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,39,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,38,dg_1712600278.jpeg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs
95,grinnell_34345,None,20,scholarship.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,19,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,19,dg_1712600283.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
96,grinnell_34341,None,20,scholarship.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,19,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,19,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
97,grinnell_33987,None,26,dg_1712600287.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,20,scholarship.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects/thumbs,19,dg_1712600284.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
98,grinnell_12935,None,32,dg_1712600290.pdf,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,32,dg_1712600292.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects,32,dg_1712600291.jpg,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/CollectionBuilder-Objects
